zipcode,cd,state,city,state_fips_code
00501,3602,NY,HOLTSVILLE,36
00601,7200,PR,ADJUNTAS,72
00602,7200,PR,AGUADA,72
00603,7200,PR,AGUADILLA,72
00604,7200,PR,AGUADILLA,72
00605,7200,PR,AGUADILLA,72
00606,7200,PR,MARICAO,72
00610,7200,PR,ANASCO,72
00611,7200,PR,ANGELES,72
00612,7200,PR,ARECIBO,72
00613,7200,PR,ARECIBO,72
00614,7200,PR,ARECIBO,72
00616,7200,PR,BAJADERO,72
00617,7200,PR,BARCELONETA,72
00622,7200,PR,BOQUERON,72
00623,7200,PR,CABO ROJO,72
00624,7200,PR,PENUELAS,72
00627,7200,PR,CAMUY,72
00631,7200,PR,CASTANER,72
00637,7200,PR,SABANA GRANDE,72
00638,7200,PR,CIALES,72
00641,7200,PR,UTUADO,72
00646,7200,PR,DORADO,72
00647,7200,PR,ENSENADA,72
00650,7200,PR,FLORIDA,72
00652,7200,PR,GARROCHALES,72
00653,7200,PR,GUANICA,72
00656,7200,PR,GUAYANILLA,72
00659,7200,PR,HATILLO,72
00660,7200,PR,HORMIGUEROS,72
00662,7200,PR,ISABELA,72
00664,7200,PR,JAYUYA,72
00667,7200,PR,LAJAS,72
00669,7200,PR,LARES,72
00670,7200,PR,LAS MARIAS,72
00674,7200,PR,MANATI,72
00676,7200,PR,MOCA,72
00677,7200,PR,RINCON,72
00678,7200,PR,QUEBRADILLAS,72
00680,7200,PR,MAYAGUEZ,72
00681,7200,PR,MAYAGUEZ,72
00682,7200,PR,MAYAGUEZ,72
00683,7200,PR,SAN GERMAN,72
00685,7200,PR,SAN SEBASTIAN,72
00687,7200,PR,MOROVIS,72
00688,7200,PR,SABANA HOYOS,72
00690,7200,PR,SAN ANTONIO,72
00692,7200,PR,VEGA ALTA,72
00693,7200,PR,VEGA BAJA,72
00694,7200,PR,VEGA BAJA,72
00698,7200,PR,YAUCO,72
00703,7200,PR,AGUAS BUENAS,72
00704,7200,PR,AGUIRRE,72
00705,7200,PR,AIBONITO,72
00707,7200,PR,MAUNABO,72
00714,7200,PR,ARROYO,72
00715,7200,PR,MERCEDITA,72
00716,7200,PR,PONCE,72
00717,7200,PR,PONCE,72
00718,7200,PR,NAGUABO,72
00719,7200,PR,NARANJITO,72
00720,7200,PR,OROCOVIS,72
00721,7200,PR,PALMER,72
00723,7200,PR,PATILLAS,72
00725,7200,PR,CAGUAS,72
00726,7200,PR,CAGUAS,72
00727,7200,PR,CAGUAS,72
00728,7200,PR,PONCE,72
00729,7200,PR,CANOVANAS,72
00730,7200,PR,PONCE,72
00731,7200,PR,PONCE,72
00732,7200,PR,PONCE,72
00733,7200,PR,PONCE,72
00735,7200,PR,CEIBA,72
00736,7200,PR,CAYEY,72
00737,7200,PR,CAYEY,72
00738,7200,PR,FAJARDO,72
00739,7200,PR,CIDRA,72
00740,7200,PR,PUERTO REAL,72
00741,7200,PR,PUNTA SANTIAGO,72
00742,7200,PR,ROOSEVELT ROADS,72
00744,7200,PR,RIO BLANCO,72
00745,7200,PR,RIO GRANDE,72
00751,7200,PR,SALINAS,72
00754,7200,PR,SAN LORENZO,72
00757,7200,PR,SANTA ISABEL,72
00765,7200,PR,VIEQUES,72
00766,7200,PR,VILLALBA,72
00767,7200,PR,YABUCOA,72
00769,7200,PR,COAMO,72
00771,7200,PR,LAS PIEDRAS,72
00772,7200,PR,LOIZA,72
00773,7200,PR,LUQUILLO,72
00775,7200,PR,CULEBRA,72
00777,7200,PR,JUNCOS,72
00778,7200,PR,GURABO,72
00780,7200,PR,COTO LAUREL,72
00782,7200,PR,COMERIO,72
00783,7200,PR,COROZAL,72
00784,7200,PR,GUAYAMA,72
