id,name,state,district_id,party,phone,committee_assignments,website,created_at
1,"Adams, Alma",North Carolina,12,D,(202) 225-1510,Agriculture|Education and Workforce,https://adams.house.gov/,2025-03-13 10:18:19.798471
2,"Aderholt, Robert",Alabama,04,R,(202) 225-4876,Appropriations,https://aderholt.house.gov/,2025-03-13 10:18:19.800266
3,"Aguilar, Pete",California,33,D,(202) 225-3201,Appropriations,https://aguilar.house.gov/,2025-03-13 10:18:19.801655
4,"Alford, Mark",Missouri,04,R,(202) 225-2876,Appropriations|Small Business,https://alford.house.gov/,2025-03-13 10:18:19.802906
5,"Allen, Rick",Georgia,12,R,(202) 225-2823,Education and Workforce|Energy and Commerce,https://allen.house.gov/,2025-03-13 10:18:19.804125
6,"Amo, Gabe",Rhode Island,01,D,(202) 225-4911,"Budget|Foreign Affairs|Science, Space, and Technology",https://amo.house.gov/,2025-03-13 10:18:19.805138
7,"Amodei, Mark",Nevada,02,R,(202) 225-6155,Appropriations|Natural Resources,https://amodei.house.gov/,2025-03-13 10:18:19.806197
8,"Ansari, Yassamin",Arizona,03,D,(202) 225-4065,Oversight and Government Reform|Natural Resources,https://ansari.house.gov/,2025-03-13 10:18:19.80727
9,"Arrington, Jodey",Texas,19,R,(202) 225-4005,Budget|Ways and Means,https://arrington.house.gov/,2025-03-13 10:18:19.808461
10,"Auchincloss, Jake",Massachusetts,04,D,(202) 225-5931,Energy and Commerce,https://auchincloss.house.gov/,2025-03-13 10:18:19.809539
11,"Babin, Brian",Texas,36,R,(202) 225-1555,"Transportation and Infrastructure|Science, Space, and Technology",https://babin.house.gov/,2025-03-13 10:18:19.810348
12,"Bacon, Don",Nebraska,02,R,(202) 225-4155,Agriculture|Armed Services,https://bacon.house.gov/,2025-03-13 10:18:19.811501
13,"Baird, James",Indiana,04,R,(202) 225-5037,"Agriculture|Foreign Affairs|Science, Space, and Technology",https://baird.house.gov/,2025-03-13 10:18:19.812795
14,"Balderson, Troy",Ohio,12,R,(202) 225-5355,Energy and Commerce,https://balderson.house.gov/,2025-03-13 10:18:19.813623
15,"Balint, Becca",Vermont,At Large,D,(202) 225-4115,Budget|Judiciary,https://balint.house.gov/,2025-03-13 10:18:19.814453
16,"Barr, Andy",Kentucky,06,R,(202) 225-4706,Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China,https://barr.house.gov/,2025-03-13 10:18:19.815313
17,"Barragan, Nanette",California,44,D,(202) 225-8220,Energy and Commerce,https://barragan.house.gov/,2025-03-13 10:18:19.816623
18,"Barrett, Tom",Michigan,07,R,(202) 225-4872,Transportation and Infrastructure|Veterans' Affairs,https://barrett.house.gov/,2025-03-13 10:18:19.81742
19,"Baumgartner, Michael",Washington,05,R,(202) 225-2006,Education and Workforce|Foreign Affairs|Judiciary,https://baumgartner.house.gov/,2025-03-13 10:18:19.818361
20,"Bean, Aaron",Florida,04,R,(202) 225-0123,Ways and Means,https://bean.house.gov/,2025-03-13 10:18:19.819409
21,"Beatty, Joyce",Ohio,03,D,(202) 225-4324,Financial Services,https://beatty.house.gov/,2025-03-13 10:18:19.820302
22,"Begich, Nicholas",Alaska,At Large,R,(202) 225-5765,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://begich.house.gov/,2025-03-13 10:18:19.821149
23,"Bell, Wesley",Missouri,01,D,(202) 225-2406,Armed Services|Oversight and Government Reform,https://bell.house.gov/,2025-03-13 10:18:19.82205
24,"Bentz, Cliff",Oregon,02,R,(202) 225-6730,Energy and Commerce|Natural Resources,https://bentz.house.gov/,2025-03-13 10:18:19.82294
25,"Bera, Ami",California,06,D,(202) 225-5716,Foreign Affairs|Intelligence,https://bera.house.gov/,2025-03-13 10:18:19.829737
26,"Bergman, Jack",Michigan,01,R,(202) 225-4735,Armed Services|Budget|Veterans' Affairs,https://bergman.house.gov/,2025-03-13 10:18:19.830655
27,"Beyer, Donald",Virginia,08,D,(202) 225-4376,Ways and Means,https://beyer.house.gov/,2025-03-13 10:18:19.831561
28,"Bice, Stephanie",Oklahoma,05,R,(202) 225-2132,Appropriations|House Administration,https://bice.house.gov/,2025-03-13 10:18:19.832435
29,"Biggs, Andy",Arizona,05,R,(202) 225-2635,Oversight and Government Reform|Judiciary,https://biggs.house.gov/,2025-03-13 10:18:19.833329
30,"Biggs, Sheri",South Carolina,03,R,(202) 225-5301,"Foreign Affairs|Homeland Security|Science, Space, and Technology",https://sheribiggs.house.gov/,2025-03-13 10:18:19.834173
31,"Bilirakis, Gus",Florida,12,R,(202) 225-5755,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://bilirakis.house.gov/,2025-03-13 10:18:19.835049
32,"Bishop, Sanford",Georgia,02,D,(202) 225-3631,Appropriations,https://bishop.house.gov/,2025-03-13 10:18:19.835905
33,"Boebert, Lauren",Colorado,04,R,(202) 225-4761,Oversight and Government Reform|Natural Resources,https://boebert.house.gov/,2025-03-13 10:18:19.836742
34,"Bonamici, Suzanne",Oregon,01,D,(202) 225-0855,"Education and Workforce|Science, Space, and Technology",https://bonamici.house.gov/,2025-03-13 10:18:19.837968
35,"Bost, Mike",Illinois,12,R,(202) 225-5661,Agriculture|Transportation and Infrastructure|Veterans' Affairs,https://bost.house.gov/,2025-03-13 10:18:19.838812
36,"Boyle, Brendan",Pennsylvania,02,D,(202) 225-6111,Budget|Ways and Means,https://boyle.house.gov/,2025-03-13 10:18:19.839625
